sample,lat,lon,collectionDate,collectionDepth,depthZone,depthZoneM,site,C3-C21-C3fc-C3an-C65b-C3b-C3bb,C3-C21-C3an-C3fc-C3gz-C3b-C3bb,C3-C3de-C21-C3bb-C3an-C21ae-C65b-C3s,C3-C3fc-C21-C3b-C3an-C3fd-C3bb,C3-C3de-C3bb-C21ae-C21-C3an-C3s,C3-C3an-C3de-C21-C3bb-C3fc-C3b,C3-C21-C3gu-C3gy-C3gw-C3gx-C3gv-C3b,C3an/C3-C21-C3bb,C3-C3fc-C40g-C3b-C3an-C21-C3fd-C3s-C3bb,C3/C3b,G3b,G3am
MX074,23.30706,-88.71617,20.07.19,38.13813814,Mesophotic,35,Bajos del Norte,0,0,0,15870,0,0,0,0,0,0,0,0
MX075,23.30706,-88.71617,20.07.19,34.83483483,Mesophotic,35,Bajos del Norte,11205,0,0,0,0,0,0,0,0,0,0,0
MX077,23.30706,-88.71617,20.07.19,34.53453453,Mesophotic,35,Bajos del Norte,0,0,7280,0,0,0,0,0,0,0,0,0
MX078,23.24744,-88.70778,20.07.19,15.91591592,Shallow,15,Bajos del Norte,0,0,13490,0,0,0,0,0,0,0,0,0
MX079,23.24744,-88.70778,20.07.19,15.01501502,Shallow,15,Bajos del Norte,0,0,0,0,0,4006,0,0,0,0,0,0
MX080,23.24744,-88.70778,20.07.19,15.61561562,Shallow,15,Bajos del Norte,0,0,21604,0,0,0,0,0,0,0,0,0
MX081,23.24744,-88.70778,20.07.19,15.01501502,Shallow,15,Bajos del Norte,0,0,0,0,3620,0,0,0,0,0,0,0
MX082,23.24744,-88.70778,20.07.19,15.01501502,Shallow,15,Bajos del Norte,0,0,0,16415,0,0,0,0,0,0,0,0
MX083,23.24744,-88.70778,20.07.19,14.71471471,Shallow,15,Bajos del Norte,0,0,13792,0,0,0,0,0,0,0,0,0
MX084,23.24744,-88.70778,20.07.19,15.91591592,Shallow,15,Bajos del Norte,0,0,0,0,0,15803,0,0,0,0,0,0
MX085,23.24744,-88.70778,20.07.19,15.01501502,Shallow,15,Bajos del Norte,0,0,11501,0,0,0,0,0,0,0,0,0
MX086,23.24744,-88.70778,20.07.19,11.41141141,Shallow,10,Bajos del Norte,0,0,0,0,0,20094,0,0,0,0,0,0
MX087,23.24744,-88.70778,20.07.19,10.51051051,Shallow,10,Bajos del Norte,0,0,0,11297,0,0,0,0,0,0,0,0
MX088,23.24744,-88.70778,20.07.19,10.81081081,Shallow,10,Bajos del Norte,0,0,0,0,14998,0,0,0,0,0,0,0
MX089,23.24744,-88.70778,20.07.19,10.21021021,Shallow,10,Bajos del Norte,0,0,0,0,10022,0,0,0,0,0,0,0
MX090,23.24744,-88.70778,20.07.19,10.51051051,Shallow,10,Bajos del Norte,0,0,8219,0,0,0,0,0,0,0,0,0
MX091,23.24744,-88.70778,20.07.19,10.21021021,Shallow,10,Bajos del Norte,0,0,9646,0,0,0,0,0,0,0,0,0
MX092,23.24744,-88.70778,20.07.19,10.81081081,Shallow,10,Bajos del Norte,0,0,0,12786,0,0,0,0,0,0,0,0
MX093,23.24744,-88.70778,20.07.19,10.81081081,Shallow,10,Bajos del Norte,6700,0,0,0,0,0,0,0,0,0,0,0
MX094,23.24744,-88.70778,20.07.19,16.51651652,Shallow,15,Bajos del Norte,0,0,0,0,0,16851,0,0,0,0,0,0
MX095,23.24744,-88.70778,20.07.19,15.91591592,Shallow,15,Bajos del Norte,0,0,0,8622,0,0,0,0,0,0,0,0
MX096,23.24744,-88.70778,20.07.19,15.31531532,Shallow,15,Bajos del Norte,0,0,0,0,0,14914,0,0,0,0,0,0
MX097,23.24744,-88.70778,20.07.19,14.71471471,Shallow,15,Bajos del Norte,0,0,0,16345,0,0,0,0,0,0,49,198
MX098,23.24744,-88.70778,20.07.19,14.71471471,Shallow,15,Bajos del Norte,0,0,0,0,13904,0,0,0,0,0,0,0
MX099,23.24744,-88.70778,20.07.19,15.31531532,Shallow,15,Bajos del Norte,0,0,14047,0,0,0,0,0,0,0,0,0
MX100,23.24744,-88.70778,20.07.19,15.31531532,Shallow,15,Bajos del Norte,6563,0,0,0,0,0,0,0,0,0,0,0
MX101,23.24744,-88.70778,20.07.19,10.81081081,Shallow,10,Bajos del Norte,0,0,0,0,15112,0,0,0,0,0,0,0
MX102,23.24744,-88.70778,20.07.19,11.11111111,Shallow,10,Bajos del Norte,23792,0,0,0,0,0,0,0,0,0,0,0
MX103,23.24744,-88.70778,20.07.19,10.21021021,Shallow,10,Bajos del Norte,0,0,0,18722,0,0,0,0,0,0,0,0
MX104,23.24744,-88.70778,20.07.19,10.51051051,Shallow,10,Bajos del Norte,0,0,0,0,2524,0,0,0,0,0,0,0
MX105,23.24744,-88.70778,20.07.19,11.11111111,Shallow,10,Bajos del Norte,0,0,0,0,21150,0,0,0,0,0,0,0
MX106,23.24744,-88.70778,20.07.19,10.81081081,Shallow,10,Bajos del Norte,0,0,0,21576,0,0,0,0,0,0,0,0
MX107,23.24744,-88.70778,20.07.19,10.51051051,Shallow,10,Bajos del Norte,0,0,0,0,0,13583,0,0,0,0,0,0
MX108,23.28367,-88.71162,21.07.19,29.72972973,Shallow,25,Bajos del Norte,11196,0,0,0,0,0,0,0,0,0,0,0
MX109,23.28367,-88.71162,21.07.19,29.42942943,Shallow,25,Bajos del Norte,0,0,0,0,0,0,0,8438,0,0,0,0
MX110,23.28367,-88.71162,21.07.19,28.82882883,Shallow,25,Bajos del Norte,0,0,12910,0,0,0,0,0,0,0,0,0
MX111,23.28367,-88.71162,21.07.19,28.82882883,Shallow,25,Bajos del Norte,0,0,22799,0,0,0,0,0,0,0,0,0
MX112,23.28367,-88.71162,21.07.19,28.22822823,Shallow,25,Bajos del Norte,492,0,0,0,0,0,0,0,0,0,0,0
MX113,23.28367,-88.71162,21.07.19,28.22822823,Shallow,25,Bajos del Norte,19747,0,0,0,0,0,0,0,0,0,0,0
MX115,23.28367,-88.71162,21.07.19,27.92792793,Shallow,25,Bajos del Norte,0,0,0,0,0,0,0,19047,0,0,0,0
